iso3,gdp_pc,pop,area_km2
ABW,42783,107359,180
AFG,1984,41454761,652230
AGO,8598,36749906,1246700
ALB,20502,2411658,27400
AND,64631,80856,470
ARE,70240,10483751,71020
ARG,27230,45538401,2736690
ARM,19403,2964300,28199
ASM,,47521,200
ATG,28712,93316,440
AUS,60685,26659922,7692020
AUT,64536,9131761,82520
AZE,21311,10153958,82650
BDI,1033,13689450,25680
BEL,63042,11779946,30494
BEN,3721,14111034,112760
BFA,2486,23025776,273600
BGD,8242,171466990,129980
BGR,33074,6446596,108560
BHR,57820,1577059,800
BHS,35221,399440,10010
BIH,19805,3185073,51200
BLR,27782,9178298,202983
BLZ,12371,411106,22810
BMU,102269,64698,54
BOL,11616,12244159,1083300
BRA,19080,211140729,8358140
BRB,20865,282336,430
BRN,76617,458949,5270
BTN,14610,786385,38140
BWA,18932,2480244,566730
CAF,1133,5152421,622980
CAN,58088,40049088,8788700
CHE,85383,8888822,39510
CHI,,167691,198
CHL,29600,19658835,742832
CHN,22687,1410710000,9388210
CIV,6521,31165654,318000
CMR,4875,28372687,472710
COD,1559,105789731,2267050
COG,6172,6182885,341500
COL,18407,52321152,1109500
COM,3508,850387,1861
CPV,9228,522331,4030
CRI,26379,5105525,51060
CUB,,11019931,103800
CUW,27618,154654,444
CYM,79581,73038,240
CYP,51675,1344976,9240
CZE,47558,10864042,77167
DEU,63140,83287273,349430
DJI,6511,1152944,23180
DMA,18278,66510,750
DNK,68994,5946952,40000
DOM,23282,11331265,48198
DZA,15159,46164219,2381740
ECU,14321,17980083,248360
EGY,16691,114535772,995450
ERI,,3470390,121178
ESP,47323,48352528,499697
EST,41285,1370286,42730
ETH,2758,128691692,1128499
FIN,56052,5583911,303960
FJI,13195,924145,18270
FRA,54297,68372286,538950
FRO,71828,54398,1370
FSM,3841,112630,700
GAB,18701,2484789,257670
GBR,53423,68526000,241930
GEO,22591,3715483,69490
GHA,6809,33787914,227533
GIB,,38471,10
GIN,3905,14405468,245720
GMB,2964,2697845,10120
GNB,2661,2153339,28120
GNQ,15302,1847549,28050
GRC,36701,10407351,128900
GRD,17093,117081,340
GRL,71038,56865,410450
GTM,12380,18124838,107160
GUM,,166506,540
GUY,49312,826353,211140
HKG,64388,7536100,1050
HND,6468,10644851,111890
HRV,41320,3859686,55960
HTI,2939,11637398,27560
HUN,40333,9592186,91260
IDN,13890,281190067,1892555
IMN,,84165,570
IND,8871,1438069596,2973190
IRL,117660,5311538,68890
IRN,17045,90608707,1622500
IRQ,13202,45074049,434130
ISL,69268,385663,100830
ISR,47671,9849000,21640
ITA,52843,58984216,295720
JAM,11399,2839786,10830
JOR,10309,11439213,88794
JPN,47387,124516650,364569
KAZ,34703,20330104,2699700
KEN,5692,55339003,580876
KGZ,6576,7099750,191800
KHM,6695,17423880,176520
KIR,3175,132530,810
KNA,30617,46758,260
KOR,54029,51712619,97600
KWT,47790,4853420,17820
LAO,8372,7664993,230800
LBN,11330,5773493,10230
LBR,1617,5493031,96320
LBY,12477,7305659,1759540
LCA,23636,179285,610
LIE,,39846,160
LKA,13065,22037000,61860
LSO,2592,2311472,30360
LTU,46334,2871585,62600
LUX,130049,666430,2574
LVA,37278,1883710,62230
MAC,104815,678800,33
MAF,,27515,50
MAR,8915,37712505,446300
MCO,,38956,2
MDA,15981,2457783,32930
MDG,1630,31195932,581800
MDV,22333,525994,298
MEX,21865,129739759,1943950
MHL,6775,38827,180
MKD,23455,1827816,25220
MLI,2861,23769127,1220190
MLT,60460,552747,320
MMR,5364,54133798,652670
MNE,27243,623529,13450
MNG,16223,3481145,1558500
MNP,,45143,460
MOZ,1513,33635160,786380
MRT,6276,5022441,1030700
MUS,26471,1248647,1997
MWI,1649,21104482,94280
MYS,32858,35126298,328550
NAM,10126,2963095,823290
NCL,,289870,18280
NER,1713,26159867,1266700
NGA,7843,227882945,910770
NIC,7497,6823613,120340
NLD,70199,17877117,33670
NOR,94365,5519601,364270
NPL,4861,29694614,143350
NRU,11859,11875,20
